latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-11.807,142.0583,313,1,1,2019/8/1,56,Terra,MODIS,48,6.3,297.3,6.6,D,0
-11.7924,142.085,319.3,1,1,2019/8/1,56,Terra,MODIS,71,6.3,297.3,11.3,D,0
-12.8398,132.8744,311.6,3.1,1.7,2019/8/1,57,Terra,MODIS,42,6.3,298.7,23.1,D,0
-14.4306,143.3035,310.1,1.1,1.1,2019/8/1,57,Terra,MODIS,33,6.3,296.1,6.5,D,0
-12.4953,131.4897,310.3,4,1.9,2019/8/1,57,Terra,MODIS,36,6.3,298.8,27.6,D,0
-15.7816,137.0067,311.3,1,1,2019/8/1,1616,Aqua,MODIS,82,6.3,290.1,11.7,N,0
-15.0086,131.7782,301.7,2,1.4,2019/8/1,1616,Aqua,MODIS,43,6.3,290.2,13.7,N,0
-16.1452,136.7267,304.8,1,1,2019/8/1,1616,Aqua,MODIS,62,6.3,286.7,8.3,N,0
-15.1785,129.9115,304.9,2.7,1.6,2019/8/1,1616,Aqua,MODIS,62,6.3,293.5,24.9,N,0
-15.1826,129.9346,319.3,2.7,1.6,2019/8/1,1616,Aqua,MODIS,98,6.3,293.7,70.6,N,0
-15.1737,129.9314,310.9,2.7,1.6,2019/8/1,1616,Aqua,MODIS,81,6.3,292.1,39,N,0
-15.1877,129.9285,307.8,2.7,1.6,2019/8/1,1616,Aqua,MODIS,73,6.3,293.2,31.9,N,0
-15.503,130.6239,306.4,2.3,1.5,2019/8/1,1616,Aqua,MODIS,41,6.3,292.4,22.2,N,0
-15.4997,130.6191,306.7,2.3,1.5,2019/8/1,1616,Aqua,MODIS,34,6.3,292,22.8,N,0
-20.7922,119.449,303.3,2.6,1.5,2019/8/1,1755,Aqua,MODIS,54,6.3,287.9,24.3,N,0
