latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-11.807,142.0583,313,1,1,2019/8/1,56,Terra,MODIS,48,6.3,297.3,6.6,D,0
-11.7924,142.085,319.3,1,1,2019/8/1,56,Terra,MODIS,71,6.3,297.3,11.3,D,0
-12.8398,132.8744,311.6,3.1,1.7,2019/8/1,57,Terra,MODIS,42,6.3,298.7,23.1,D,0
-14.4306,143.3035,310.1,1.1,1.1,2019/8/1,57,Terra,MODIS,33,6.3,296.1,6.5,D,0
-12.4953,131.4897,310.3,4,1.9,2019/8/1,57,Terra,MODIS,36,6.3,298.8,27.6,D,0
-12.6191,142.1998,314.8,1,1,2019/8/1,57,Terra,MODIS,68,6.3,297.6,9.3,D,0
-14.3655,143.5682,305.4,1.2,1.1,2019/8/1,57,Terra,MODIS,24,6.3,283.9,5.9,D,0
-14.3195,143.5198,322.9,1.2,1.1,2019/8/1,57,Terra,MODIS,79,6.3,290.9,20.4,D,0
-13.1654,141.9715,317.2,1,1,2019/8/1,57,Terra,MODIS,72,6.3,300,9.9,D,0
-11.5473,132.6796,311.5,3.4,1.7,2019/8/1,57,Terra,MODIS,40,6.3,298.7,27.3,D,0
-11.5417,132.649,312.2,3.4,1.7,2019/8/1,57,Terra,MODIS,42,6.3,298,31.4,D,0
-11.5471,132.6538,316,3.4,1.7,2019/8/1,57,Terra,MODIS,65,6.3,298,52.7,D,0
-12.7626,142.1759,335.2,1,1,2019/8/1,57,Terra,MODIS,88,6.3,301.7,30.1,D,0
-12.705,133.907,311.7,2.6,1.5,2019/8/1,57,Terra,MODIS,57,6.3,298.6,20.6,D,0
-13.1092,134.1848,315.9,2.4,1.5,2019/8/1,57,Terra,MODIS,67,6.3,298.4,29.5,D,0
-14.0539,142.3327,316,1,1,2019/8/1,57,Terra,MODIS,52,6.3,298.8,7.8,D,0
-12.6996,133.9138,310.9,2.6,1.5,2019/8/1,57,Terra,MODIS,55,6.3,298.7,17.6,D,0
-12.7499,134.5251,314.8,2.3,1.5,2019/8/1,57,Terra,MODIS,66,6.3,299.9,22.8,D,0
-12.7141,134.3991,313.9,2.4,1.5,2019/8/1,57,Terra,MODIS,64,6.3,299.2,23,D,0
-12.7061,134.4077,314,2.4,1.5,2019/8/1,57,Terra,MODIS,64,6.3,300,21.2,D,0
-13.8656,141.9771,315.7,1,1,2019/8/1,57,Terra,MODIS,69,6.3,300.8,6.7,D,0
-12.6491,134.3953,324.9,2.4,1.5,2019/8/1,57,Terra,MODIS,79,6.3,300.6,57.7,D,0
-13.1015,134.1926,311.3,2.4,1.5,2019/8/1,57,Terra,MODIS,55,6.3,298.1,17.2,D,0
-12.6703,142.1102,322.4,1,1,2019/8/1,57,Terra,MODIS,78,6.3,301,13.7,D,0
-13.3042,142.04,318.6,1,1,2019/8/1,57,Terra,MODIS,76,6.3,299,11.6,D,0
-13.2236,141.9914,325.3,1,1,2019/8/1,57,Terra,MODIS,69,6.3,300.4,16.2,D,0
-13.2821,142.4617,306.5,1,1,2019/8/1,57,Terra,MODIS,19,6.3,280.3,5.4,D,0
-13.2159,142.002,325.5,1,1,2019/8/1,57,Terra,MODIS,52,6.3,297.3,17.6,D,0
-13.2537,142.5242,310,1,1,2019/8/1,57,Terra,MODIS,37,6.3,291.3,4.3,D,0
-12.4513,141.8071,320.2,1,1,2019/8/1,57,Terra,MODIS,68,6.3,296,13,D,0
-12.4527,141.8162,328.6,1,1,2019/8/1,57,Terra,MODIS,83,6.3,298.2,21.8,D,0
-12.544,142.4455,317.6,1,1,2019/8/1,57,Terra,MODIS,57,6.3,301.1,8.8,D,0
-12.463,141.8241,317,1,1,2019/8/1,57,Terra,MODIS,51,6.3,298.3,8.2,D,0
-12.5567,141.8979,336.5,1,1,2019/8/1,57,Terra,MODIS,88,6.3,304.4,31.5,D,0
-12.5581,141.9071,318.2,1,1,2019/8/1,57,Terra,MODIS,56,6.3,304.8,8.9,D,0
-13.2313,131.9106,316.7,3.6,1.8,2019/8/1,57,Terra,MODIS,68,6.3,300,49.9,D,0
-13.2394,131.9032,319.1,3.6,1.8,2019/8/1,57,Terra,MODIS,72,6.3,300.6,61.1,D,0
-13.2993,131.9598,315.3,3.6,1.8,2019/8/1,57,Terra,MODIS,54,6.3,300.3,37,D,0
-13.3151,131.9569,314.2,3.6,1.8,2019/8/1,57,Terra,MODIS,44,6.3,300.6,31.6,D,0
-15.3551,142.3028,319.7,1.1,1,2019/8/1,57,Terra,MODIS,72,6.3,291,15,D,0
-15.3658,142.3113,329.2,1.1,1,2019/8/1,57,Terra,MODIS,85,6.3,293.4,25,D,0
-14.2726,135.0443,314.3,2,1.4,2019/8/1,57,Terra,MODIS,62,6.3,301,15.3,D,0
-15.4778,142.5924,314.3,1.1,1,2019/8/1,57,Terra,MODIS,70,6.3,290.2,10.7,D,0
-14.3048,134.9182,321.8,2,1.4,2019/8/1,57,Terra,MODIS,75,6.3,301.4,35.7,D,0
-14.308,134.9367,316.1,2,1.4,2019/8/1,57,Terra,MODIS,66,6.3,300,20.5,D,0
-12.7613,142.1666,319.2,1,1,2019/8/1,57,Terra,MODIS,71,6.3,300.3,10.1,D,0
-12.8447,132.9017,324,3.1,1.7,2019/8/1,57,Terra,MODIS,78,6.3,299.6,80.1,D,0
-12.8782,132.9177,312.6,3.1,1.7,2019/8/1,57,Terra,MODIS,53,6.3,300.7,24.7,D,0
-15.0081,131.7665,312.6,3.4,1.7,2019/8/1,58,Terra,MODIS,46,6.3,299.2,30.2,D,0
-15.7637,137.0728,377.6,1.3,1.1,2019/8/1,58,Terra,MODIS,75,6.3,306.4,208.1,D,0
-15.7678,137.0335,319.5,1.4,1.2,2019/8/1,58,Terra,MODIS,35,6.3,303,14.5,D,0
-15.7699,137.046,345.8,1.4,1.2,2019/8/1,58,Terra,MODIS,93,6.3,303.7,71.3,D,0
-15.7863,137.0816,321.4,1.3,1.1,2019/8/1,58,Terra,MODIS,59,6.3,300.8,17.1,D,0
-14.651,130.5884,313.6,4.2,1.9,2019/8/1,58,Terra,MODIS,53,6.3,297.1,46.2,D,0
-14.6536,130.5824,312.4,4.2,1.9,2019/8/1,58,Terra,MODIS,47,6.3,297.1,40,D,0
-14.6614,130.6219,312.6,4.2,1.9,2019/8/1,58,Terra,MODIS,43,6.3,296.4,42,D,0
-14.727,130.6886,311.9,4.1,1.9,2019/8/1,58,Terra,MODIS,40,6.3,296.4,39.4,D,0
-14.9422,131.8184,318.3,3.4,1.7,2019/8/1,58,Terra,MODIS,70,6.3,300.6,54.8,D,0
-15.7616,137.0603,336.7,1.3,1.2,2019/8/1,58,Terra,MODIS,79,6.3,299.5,44.5,D,0
-15.1411,131.1486,315,3.8,1.8,2019/8/1,58,Terra,MODIS,54,6.3,297.6,46.2,D,0
-15.1317,131.1449,313.2,3.8,1.8,2019/8/1,58,Terra,MODIS,27,6.3,297.8,37.3,D,0
-16.144,136.7135,367.6,1.4,1.2,2019/8/1,58,Terra,MODIS,100,6.3,307.8,162.2,D,0
-15.1544,131.1757,312.2,3.7,1.8,2019/8/1,58,Terra,MODIS,20,6.3,298.3,31.4,D,0
-16.1479,136.6726,349.3,1.4,1.2,2019/8/1,58,Terra,MODIS,95,6.3,304.3,84.5,D,0
-16.1501,136.6857,345.1,1.4,1.2,2019/8/1,58,Terra,MODIS,92,6.3,305.9,69.9,D,0
-16.1545,136.7117,339.3,1.4,1.2,2019/8/1,58,Terra,MODIS,89,6.3,307,52,D,0
-16.1646,136.6428,328.5,1.4,1.2,2019/8/1,58,Terra,MODIS,80,6.3,303.6,30.8,D,0
-15.1018,130.5473,310.8,4.2,1.9,2019/8/1,58,Terra,MODIS,47,6.3,295.6,33.9,D,0
-15.1089,130.5845,309.7,4.1,1.9,2019/8/1,58,Terra,MODIS,13,6.3,295.1,27.9,D,0
-15.1657,129.9294,315.3,4.6,2,2019/8/1,58,Terra,MODIS,64,6.3,296.9,76.1,D,0
-15.1644,129.9221,313.4,4.6,2,2019/8/1,58,Terra,MODIS,58,6.3,296.6,63.3,D,0
-15.5022,130.6313,318.5,4,1.9,2019/8/1,58,Terra,MODIS,55,6.3,298.4,68.1,D,0
-15.4825,130.4364,314.4,4.2,1.9,2019/8/1,58,Terra,MODIS,49,6.3,298.2,48.5,D,0
-15.4967,130.6638,314.7,4,1.9,2019/8/1,58,Terra,MODIS,16,6.3,298,44.7,D,0
